origin,country,region,industry,industry_weight,exports_vol,imports_vol,trade_value,trade_pct_gdp,tariff_rate,transport_cost,fatality_rate,violent_events,un_vote_alignment,state_visits,actual_vs_expected,risk_index,latitude,longitude,year
Singapore,Japan,APAC,Agriculture,0.10078308278686894,6218.04,6898.45,13116.49,0.02285,8.54,8.36,17.21,0.35,0.511,8,119.63,12.396,36.2,138.25,2025
Singapore,Japan,APAC,Energy,0.19245411798488843,11131.58,13915.51,25047.08,0.04364,8.54,8.36,17.21,0.35,0.511,8,149.774,12.396,36.2,138.25,2025
Singapore,Japan,APAC,Machinery,0.103356202855057,9321.59,4129.78,13451.37,0.02343,8.54,8.36,17.21,0.35,0.511,8,91.104,12.396,36.2,138.25,2025
Singapore,Japan,APAC,Pharmaceuticals,0.05661014658010968,3709.73,3657.84,7367.57,0.01284,8.54,8.36,17.21,0.35,0.511,8,113.435,12.396,36.2,138.25,2025
Singapore,Japan,APAC,Financial Services,0.18614109031095338,13548.83,10676.64,24225.47,0.0422,8.54,8.36,17.21,0.35,0.511,8,94.778,12.396,36.2,138.25,2025
Singapore,South Korea,APAC,Electronics,0.1764611661187159,20994.89,14586.12,35581.01,0.06199,11.85,1.73,7.39,12.11,0.803,4,103.577,9.172,35.9,127.77,2025
Singapore,South Korea,APAC,Automotive,0.06805795401088166,8928.03,4794.93,13722.97,0.02391,11.85,1.73,7.39,12.11,0.803,4,82.078,9.172,35.9,127.77,2025
Singapore,South Korea,APAC,Chemicals,0.08730370207997085,7256.78,10346.83,17603.61,0.03067,11.85,1.73,7.39,12.11,0.803,4,109.089,9.172,35.9,127.77,2025
Singapore,South Korea,APAC,Agriculture,0.18551287236845648,15148.61,22257.55,37406.16,0.06517,11.85,1.73,7.39,12.11,0.803,4,101.209,9.172,35.9,127.77,2025
Singapore,South Korea,APAC,Energy,0.0952991550395876,11405.57,7810.22,19215.79,0.03348,11.85,1.73,7.39,12.11,0.803,4,67.437,9.172,35.9,127.77,2025
Singapore,South Korea,APAC,Machinery,0.1881875476204932,19580.65,18364.83,37945.47,0.06611,11.85,1.73,7.39,12.11,0.803,4,143.673,9.172,35.9,127.77,2025
Singapore,South Korea,APAC,Pharmaceuticals,0.07750418882919866,7850.09,7777.58,15627.67,0.02723,11.85,1.73,7.39,12.11,0.803,4,61.347,9.172,35.9,127.77,2025
Singapore,South Korea,APAC,Financial Services,0.23493872365571256,31417.34,15954.88,47372.22,0.08253,11.85,1.73,7.39,12.11,0.803,4,75.794,9.172,35.9,127.77,2025
Singapore,India,APAC,Electronics,0.2300836114326661,30566.67,21247.35,51814.02,0.09027,16.34,6.0,10.59,12.09,0.093,4,83.903,18.887,20.59,78.96,2025
Singapore,India,APAC,Automotive,0.11984191492253218,16672.81,10315.16,26987.98,0.04702,16.34,6.0,10.59,12.09,0.093,4,139.711,18.887,20.59,78.96,2025
Singapore,India,APAC,Chemicals,0.22741728485302348,32467.49,18746.08,51213.57,0.08922,16.34,6.0,10.59,12.09,0.093,4,114.203,18.887,20.59,78.96,2025
Singapore,India,APAC,Agriculture,0.06682799299900977,6749.5,8299.93,15049.43,0.02622,16.34,6.0,10.59,12.09,0.093,4,139.855,18.887,20.59,78.96,2025
Singapore,India,APAC,Energy,0.171285811931918,15535.61,23037.35,38572.96,0.0672,16.34,6.0,10.59,12.09,0.093,4,60.147,18.887,20.59,78.96,2025
Singapore,India,APAC,Machinery,0.18270035382161118,16519.87,24623.61,41143.48,0.07168,16.34,6.0,10.59,12.09,0.093,4,66.081,18.887,20.59,78.96,2025
Singapore,India,APAC,Pharmaceuticals,0.15974675787331724,21856.92,14117.49,35974.41,0.06267,16.34,6.0,10.59,12.09,0.093,4,115.196,18.887,20.59,78.96,2025
Singapore,India,APAC,Financial Services,0.09485386189211197,13108.11,8252.65,21360.76,0.03721,16.34,6.0,10.59,12.09,0.093,4,73.725,18.887,20.59,78.96,2025
Singapore,Germany,EU,Electronics,0.1772665236371791,12767.67,14103.8,26871.47,0.04681,14.93,6.85,16.98,32.88,0.568,2,108.987,18.548,51.16,10.45,2025
Singapore,Germany,EU,Automotive,0.24577857165500183,20343.2,16913.86,37257.07,0.06491,14.93,6.85,16.98,32.88,0.568,2,140.61,18.548,51.16,10.45,2025
Singapore,Germany,EU,Chemicals,0.13687887310208574,10478.83,10270.36,20749.19,0.03615,14.93,6.85,16.98,32.88,0.568,2,114.51,18.548,51.16,10.45,2025
Singapore,Germany,EU,Agriculture,0.18378481193261995,18366.42,9493.14,27859.56,0.04854,14.93,6.85,16.98,32.88,0.568,2,73.019,18.548,51.16,10.45,2025
Singapore,Germany,EU,Energy,0.14983867597695047,12983.2,9730.54,22713.74,0.03957,14.93,6.85,16.98,32.88,0.568,2,126.855,18.548,51.16,10.45,2025
Singapore,Germany,EU,Machinery,0.05872075435088675,6216.4,2684.96,8901.36,0.01551,14.93,6.85,16.98,32.88,0.568,2,96.994,18.548,51.16,10.45,2025
Singapore,Germany,EU,Pharmaceuticals,0.10591206835935173,10677.34,5377.65,16054.99,0.02797,14.93,6.85,16.98,32.88,0.568,2,124.772,18.548,51.16,10.45,2025
Singapore,Germany,EU,Financial Services,0.24061436940479064,18208.85,18265.38,36474.24,0.06354,14.93,6.85,16.98,32.88,0.568,2,105.276,18.548,51.16,10.45,2025
Singapore,France,EU,Electronics,0.0838985493372185,9795.67,7479.41,17275.08,0.0301,19.61,1.68,6.11,9.55,0.268,2,143.615,16.007,46.22,2.21,2025
Singapore,France,EU,Automotive,0.18920595933499462,22245.92,16712.41,38958.33,0.06787,19.61,1.68,6.11,9.55,0.268,2,59.718,16.007,46.22,2.21,2025
Singapore,France,EU,Chemicals,0.17300144533983397,24828.93,10792.81,35621.75,0.06206,19.61,1.68,6.11,9.55,0.268,2,64.008,16.007,46.22,2.21,2025
Singapore,France,EU,Agriculture,0.15366593047274735,20984.35,10656.14,31640.48,0.05512,19.61,1.68,6.11,9.55,0.268,2,124.077,16.007,46.22,2.21,2025
Singapore,France,EU,Energy,0.1894031481990536,23818.41,15180.52,38998.93,0.06794,19.61,1.68,6.11,9.55,0.268,2,85.949,16.007,46.22,2.21,2025
Singapore,France,EU,Machinery,0.10871836885289868,14389.64,7995.94,22385.58,0.039,19.61,1.68,6.11,9.55,0.268,2,131.011,16.007,46.22,2.21,2025
Singapore,France,EU,Pharmaceuticals,0.22341446371602075,31004.07,14997.94,46002.01,0.08014,19.61,1.68,6.11,9.55,0.268,2,101.134,16.007,46.22,2.21,2025
Singapore,France,EU,Financial Services,0.15030325893743993,19790.95,11157.14,30948.09,0.05392,19.61,1.68,6.11,9.55,0.268,2,114.996,16.007,46.22,2.21,2025
Singapore,United Kingdom,EU,Electronics,0.1844052270590399,21548.12,21682.5,43230.62,0.07531,15.92,9.01,6.76,18.78,0.094,6,65.504,19.41,55.37,-3.43,2025
Singapore,United Kingdom,EU,Automotive,0.24636817766210622,37638.93,20117.83,57756.76,0.10062,15.92,9.01,6.76,18.78,0.094,6,136.04,19.41,55.37,-3.43,2025
Singapore,United Kingdom,EU,Chemicals,0.10005027210317281,9655.28,13799.77,23455.06,0.04086,15.92,9.01,6.76,18.78,0.094,6,80.327,19.41,55.37,-3.43,2025
Singapore,United Kingdom,EU,Agriculture,0.1574164854393311,18377.81,18525.76,36903.57,0.06429,15.92,9.01,6.76,18.78,0.094,6,132.787,19.41,55.37,-3.43,2025
Singapore,United Kingdom,EU,Energy,0.10430858316394838,16862.43,7590.92,24453.34,0.0426,15.92,9.01,6.76,18.78,0.094,6,95.727,19.41,55.37,-3.43,2025
Singapore,United Kingdom,EU,Machinery,0.21840461500239627,23466.22,27734.97,51201.19,0.0892,15.92,9.01,6.76,18.78,0.094,6,91.135,19.41,55.37,-3.43,2025
Singapore,United Kingdom,EU,Pharmaceuticals,0.18990244215343877,19655.55,24863.79,44519.34,0.07756,15.92,9.01,6.76,18.78,0.094,6,63.275,19.41,55.37,-3.43,2025
Singapore,United Kingdom,EU,Financial Services,0.2439073734228318,35130.08,22049.78,57179.87,0.09962,15.92,9.01,6.76,18.78,0.094,6,54.107,19.41,55.37,-3.43,2025
Singapore,Australia,APAC,Electronics,0.1876999801530733,13143.63,18341.28,31484.91,0.05485,8.67,7.7,5.02,9.22,0.081,8,141.521,15.484,-25.27,133.77,2025
Singapore,Australia,APAC,Automotive,0.1384704459462209,10961.72,12265.4,23227.12,0.04047,8.67,7.7,5.02,9.22,0.081,8,59.387,15.484,-25.27,133.77,2025
Singapore,Australia,APAC,Chemicals,0.08657319942146147,9880.43,4641.41,14521.84,0.0253,8.67,7.7,5.02,9.22,0.081,8,113.827,15.484,-25.27,133.77,2025
Singapore,Australia,APAC,Agriculture,0.15333925148531335,15359.0,10362.22,25721.22,0.04481,8.67,7.7,5.02,9.22,0.081,8,93.567,15.484,-25.27,133.77,2025
Singapore,Australia,APAC,Energy,0.19600786331236372,13622.04,19256.44,32878.48,0.05728,8.67,7.7,5.02,9.22,0.081,8,106.604,15.484,-25.27,133.77,2025
Singapore,Australia,APAC,Machinery,0.08172928952849821,5977.94,7731.38,13709.32,0.02388,8.67,7.7,5.02,9.22,0.081,8,84.188,15.484,-25.27,133.77,2025
Singapore,Australia,APAC,Pharmaceuticals,0.06835981316268838,4910.59,6556.13,11466.72,0.01998,8.67,7.7,5.02,9.22,0.081,8,81.141,15.484,-25.27,133.77,2025
Singapore,Australia,APAC,Financial Services,0.2459021057243017,18668.7,22579.07,41247.77,0.07186,8.67,7.7,5.02,9.22,0.081,8,51.716,15.484,-25.27,133.77,2025
Singapore,Thailand,APAC,Electronics,0.17701873017352876,18152.54,25737.51,43890.05,0.07646,16.14,4.12,9.29,32.49,0.048,5,87.461,21.609,15.87,100.99,2025
Singapore,Thailand,APAC,Automotive,0.1751719831428473,23928.56,19503.61,43432.17,0.07567,16.14,4.12,9.29,32.49,0.048,5,135.649,21.609,15.87,100.99,2025
Singapore,Thailand,APAC,Chemicals,0.181738726323789,20226.7,24833.63,45060.33,0.0785,16.14,4.12,9.29,32.49,0.048,5,57.057,21.609,15.87,100.99,2025
Singapore,Thailand,APAC,Agriculture,0.17848385564126312,18053.29,26200.03,44253.32,0.0771,16.14,4.12,9.29,32.49,0.048,5,108.578,21.609,15.87,100.99,2025
Singapore,Thailand,APAC,Energy,0.23804604828499154,33798.02,25223.16,59021.18,0.10282,16.14,4.12,9.29,32.49,0.048,5,88.817,21.609,15.87,100.99,2025
Singapore,Thailand,APAC,Machinery,0.17865764368847065,23808.25,20488.16,44296.41,0.07717,16.14,4.12,9.29,32.49,0.048,5,104.562,21.609,15.87,100.99,2025
Singapore,Thailand,APAC,Pharmaceuticals,0.23829296175530504,30476.52,28605.88,59082.4,0.10293,16.14,4.12,9.29,32.49,0.048,5,146.119,21.609,15.87,100.99,2025
Singapore,Thailand,APAC,Financial Services,0.23107012839121277,26281.78,31009.79,57291.57,0.09981,16.14,4.12,9.29,32.49,0.048,5,56.936,21.609,15.87,100.99,2025
Singapore,Vietnam,APAC,Electronics,0.18632273379455797,9560.05,9476.76,19036.81,0.03317,0.36,1.85,13.66,3.56,0.319,9,76.069,10.637,14.06,108.28,2025
Singapore,Vietnam,APAC,Automotive,0.14920749085868124,9266.75,5977.95,15244.7,0.02656,0.36,1.85,13.66,3.56,0.319,9,84.834,10.637,14.06,108.28,2025
Singapore,Vietnam,APAC,Chemicals,0.23732963037114146,9984.36,14263.89,24248.24,0.04224,0.36,1.85,13.66,3.56,0.319,9,91.795,10.637,14.06,108.28,2025
Singapore,Vietnam,APAC,Agriculture,0.24351611030404952,14042.24,10838.08,24880.32,0.04335,0.36,1.85,13.66,3.56,0.319,9,92.347,10.637,14.06,108.28,2025
Singapore,Vietnam,APAC,Energy,0.16370405674999167,9580.18,7145.65,16725.83,0.02914,0.36,1.85,13.66,3.56,0.319,9,123.165,10.637,14.06,108.28,2025
Singapore,Vietnam,APAC,Machinery,0.07553794588449313,3665.99,4051.81,7717.8,0.01345,0.36,1.85,13.66,3.56,0.319,9,108.054,10.637,14.06,108.28,2025
Singapore,Vietnam,APAC,Pharmaceuticals,0.22342332144194443,12978.76,9848.66,22827.42,0.03977,0.36,1.85,13.66,3.56,0.319,9,73.86,10.637,14.06,108.28,2025
Singapore,Vietnam,APAC,Financial Services,0.18596895598004917,11817.89,7182.77,19000.66,0.0331,0.36,1.85,13.66,3.56,0.319,9,73.824,10.637,14.06,108.28,2025
Singapore,Philippines,APAC,Electronics,0.05216753029605967,5714.46,2794.08,8508.54,0.01482,10.69,5.47,7.79,14.88,0.1,3,59.129,17.256,12.88,121.77,2025
Singapore,Philippines,APAC,Automotive,0.11386272751808298,12721.52,5849.54,18571.05,0.03235,10.69,5.47,7.79,14.88,0.1,3,145.061,17.256,12.88,121.77,2025
Singapore,Philippines,APAC,Chemicals,0.16468757762465724,15835.7,11024.9,26860.6,0.0468,10.69,5.47,7.79,14.88,0.1,3,94.845,17.256,12.88,121.77,2025
Singapore,Philippines,APAC,Agriculture,0.10864215433961291,8834.97,8884.61,17719.57,0.03087,10.69,5.47,7.79,14.88,0.1,3,117.252,17.256,12.88,121.77,2025
Singapore,Philippines,APAC,Energy,0.20047490588753603,20843.81,11853.71,32697.53,0.05696,10.69,5.47,7.79,14.88,0.1,3,128.962,17.256,12.88,121.77,2025
Singapore,Philippines,APAC,Machinery,0.06824122060973807,6102.96,5027.21,11130.17,0.01939,10.69,5.47,7.79,14.88,0.1,3,55.756,17.256,12.88,121.77,2025
Singapore,Philippines,APAC,Pharmaceuticals,0.15990577646474713,13886.9,12193.79,26080.69,0.04544,10.69,5.47,7.79,14.88,0.1,3,138.77,17.256,12.88,121.77,2025
Singapore,Philippines,APAC,Financial Services,0.12018300251041575,8529.18,11072.71,19601.89,0.03415,10.69,5.47,7.79,14.88,0.1,3,64.299,17.256,12.88,121.77,2025
Singapore,Netherlands,EU,Electronics,0.22837938175535533,25098.84,31432.44,56531.28,0.09849,12.36,1.91,1.68,35.05,0.073,1,101.333,19.239,52.13,5.29,2025
Singapore,Netherlands,EU,Automotive,0.09664561448490556,13741.12,10181.79,23922.92,0.04168,12.36,1.91,1.68,35.05,0.073,1,136.314,19.239,52.13,5.29,2025
Singapore,Netherlands,EU,Chemicals,0.22607199372768338,26357.53,29602.6,55960.13,0.09749,12.36,1.91,1.68,35.05,0.073,1,140.769,19.239,52.13,5.29,2025
Singapore,Netherlands,EU,Agriculture,0.16837774776425687,21050.59,20628.35,41678.94,0.07261,12.36,1.91,1.68,35.05,0.073,1,120.818,19.239,52.13,5.29,2025
Singapore,Netherlands,EU,Energy,0.14633339759282307,18596.37,17625.88,36222.25,0.0631,12.36,1.91,1.68,35.05,0.073,1,120.508,19.239,52.13,5.29,2025
Singapore,Netherlands,EU,Machinery,0.0997448308860576,12322.22,12367.86,24690.07,0.04301,12.36,1.91,1.68,35.05,0.073,1,93.445,19.239,52.13,5.29,2025
Singapore,Netherlands,EU,Pharmaceuticals,0.10073643477462775,13005.39,11930.14,24935.53,0.04344,12.36,1.91,1.68,35.05,0.073,1,107.147,19.239,52.13,5.29,2025
Singapore,Netherlands,EU,Financial Services,0.19819477218213366,30915.33,18144.28,49059.62,0.08547,12.36,1.91,1.68,35.05,0.073,1,132.279,19.239,52.13,5.29,2025
Singapore,Italy,EU,Electronics,0.09471916770389054,15905.2,7180.38,23085.58,0.04022,13.62,3.14,8.0,23.89,0.083,0,51.215,19.388,41.87,12.57,2025
Singapore,Italy,EU,Automotive,0.24397576534152782,24555.28,34908.09,59463.38,0.10359,13.62,3.14,8.0,23.89,0.083,0,139.114,19.388,41.87,12.57,2025
Singapore,Italy,EU,Chemicals,0.15554022181726,26456.49,11452.8,37909.28,0.06604,13.62,3.14,8.0,23.89,0.083,0,57.38,19.388,41.87,12.57,2025
Singapore,Italy,EU,Agriculture,0.16077085688026416,27068.03,12116.09,39184.13,0.06827,13.62,3.14,8.0,23.89,0.083,0,102.31,19.388,41.87,12.57,2025
Singapore,Italy,EU,Energy,0.1758797276270525,26093.93,16772.63,42866.56,0.07468,13.62,3.14,8.0,23.89,0.083,0,95.454,19.388,41.87,12.57,2025
Singapore,Italy,EU,Machinery,0.1755116160168127,24609.27,18167.57,42776.84,0.07452,13.62,3.14,8.0,23.89,0.083,0,140.116,19.388,41.87,12.57,2025
Singapore,Italy,EU,Pharmaceuticals,0.05908927606829158,6974.55,7427.08,14401.63,0.02509,13.62,3.14,8.0,23.89,0.083,0,145.041,19.388,41.87,12.57,2025
Singapore,Italy,EU,Financial Services,0.22805275677818326,29830.97,25751.54,55582.51,0.09683,13.62,3.14,8.0,23.89,0.083,0,112.013,19.388,41.87,12.57,2025
Singapore,Spain,EU,Electronics,0.10198997257085254,7708.9,6674.12,14383.02,0.02506,3.76,5.17,7.07,29.18,0.078,8,53.232,17.189,40.46,-3.75,2025
Singapore,Spain,EU,Automotive,0.10595270143378915,7820.0,7121.86,14941.86,0.02603,3.76,5.17,7.07,29.18,0.078,8,110.278,17.189,40.46,-3.75,2025
Singapore,Spain,EU,Chemicals,0.10419152850302599,6464.48,8229.01,14693.49,0.0256,3.76,5.17,7.07,29.18,0.078,8,57.62,17.189,40.46,-3.75,2025
Singapore,Spain,EU,Agriculture,0.2381063654270767,17628.53,15950.15,33578.68,0.0585,3.76,5.17,7.07,29.18,0.078,8,108.116,17.189,40.46,-3.75,2025
Singapore,Spain,EU,Energy,0.23383531036711191,14009.17,18967.19,32976.36,0.05745,3.76,5.17,7.07,29.18,0.078,8,137.666,17.189,40.46,-3.75,2025
Singapore,Spain,EU,Machinery,0.160317574508814,10161.44,12447.16,22608.6,0.03939,3.76,5.17,7.07,29.18,0.078,8,91.126,17.189,40.46,-3.75,2025
Singapore,Spain,EU,Pharmaceuticals,0.2055204567470451,15770.13,13213.16,28983.29,0.05049,3.76,5.17,7.07,29.18,0.078,8,148.529,17.189,40.46,-3.75,2025
Singapore,Spain,EU,Financial Services,0.12534779398758816,11045.91,6631.12,17677.03,0.0308,3.76,5.17,7.07,29.18,0.078,8,89.299,17.189,40.46,-3.75,2025
Singapore,Brazil,LATAM,Electronics,0.22294447525101066,37669.13,20835.09,58504.23,0.10192,11.38,1.57,0.74,6.69,0.014,6,149.972,14.574,-14.23,-51.92,2025
Singapore,Brazil,LATAM,Automotive,0.2493273674147811,37073.17,28354.36,65427.52,0.11399,11.38,1.57,0.74,6.69,0.014,6,126.899,14.574,-14.23,-51.92,2025
Singapore,Brazil,LATAM,Chemicals,0.23895314597648562,41065.25,21639.91,62705.16,0.10924,11.38,1.57,0.74,6.69,0.014,6,74.735,14.574,-14.23,-51.92,2025
Singapore,Brazil,LATAM,Agriculture,0.14010882706201871,16131.36,20635.46,36766.82,0.06405,11.38,1.57,0.74,6.69,0.014,6,145.405,14.574,-14.23,-51.92,2025
Singapore,Brazil,LATAM,Energy,0.17123492689017603,21056.13,23878.68,44934.81,0.07828,11.38,1.57,0.74,6.69,0.014,6,117.17,14.574,-14.23,-51.92,2025
Singapore,Brazil,LATAM,Machinery,0.17362564809157918,23120.47,22441.7,45562.17,0.07938,11.38,1.57,0.74,6.69,0.014,6,61.356,14.574,-14.23,-51.92,2025
Singapore,Brazil,LATAM,Pharmaceuticals,0.18431463911855994,26896.59,21470.54,48367.13,0.08426,11.38,1.57,0.74,6.69,0.014,6,127.232,14.574,-14.23,-51.92,2025
Singapore,Brazil,LATAM,Financial Services,0.15403270022239868,26501.99,13918.68,40420.66,0.07042,11.38,1.57,0.74,6.69,0.014,6,105.191,14.574,-14.23,-51.92,2025
Singapore,Mexico,LATAM,Electronics,0.17787227139484849,23210.18,12970.17,36180.35,0.06303,17.53,4.63,2.68,1.44,0.755,4,140.315,9.11,23.63,-102.55,2025
Singapore,Mexico,LATAM,Automotive,0.1734527424194584,24490.18,10791.21,35281.39,0.06147,17.53,4.63,2.68,1.44,0.755,4,110.809,9.11,23.63,-102.55,2025
Singapore,Mexico,LATAM,Chemicals,0.17732886432445652,20431.56,15638.26,36069.82,0.06284,17.53,4.63,2.68,1.44,0.755,4,59.1,9.11,23.63,-102.55,2025
Singapore,Mexico,LATAM,Agriculture,0.19527940653004566,22411.98,17309.1,39721.07,0.0692,17.53,4.63,2.68,1.44,0.755,4,95.091,9.11,23.63,-102.55,2025
Singapore,Mexico,LATAM,Energy,0.23209425568065462,23103.73,24105.72,47209.45,0.08225,17.53,4.63,2.68,1.44,0.755,4,102.36,9.11,23.63,-102.55,2025
Singapore,Mexico,LATAM,Machinery,0.18952837429869268,24632.01,13919.26,38551.28,0.06716,17.53,4.63,2.68,1.44,0.755,4,95.935,9.11,23.63,-102.55,2025
Singapore,Mexico,LATAM,Pharmaceuticals,0.21841828300374194,28019.43,16408.23,44427.67,0.0774,17.53,4.63,2.68,1.44,0.755,4,56.624,9.11,23.63,-102.55,2025
Singapore,Mexico,LATAM,Financial Services,0.059172253280926596,7056.01,4980.0,12036.01,0.02097,17.53,4.63,2.68,1.44,0.755,4,84.741,9.11,23.63,-102.55,2025
Singapore,Canada,NA,Electronics,0.18953351473938637,10843.31,13039.57,23882.89,0.04161,11.59,4.07,10.75,23.01,0.585,5,119.65,13.965,56.13,-106.35,2025
